"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.09,"bereinigt"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",64.25,"bereinigt"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",211.32,"bereinigt"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",203.02,"bereinigt"
"1983-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",126.44,"bereinigt"
"1983-01-01T01:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",5.41,"bereinigt"
"1983-01-01T01:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",58.09,"bereinigt"
"1983-01-01T01:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",381.91,"bereinigt"
"1983-01-01T01:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",336.57,"bereinigt"
"1983-01-01T01:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",129.01,"bereinigt"
"1983-01-01T02:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",7.18,"bereinigt"
"1983-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",52.44,"bereinigt"
"1983-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",460.77,"bereinigt"
"1983-01-01T02:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",396.84,"bereinigt"
"1983-01-01T02:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",116.67,"bereinigt"
"1983-01-01T03:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",5.64,"bereinigt"
"1983-01-01T03:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",59.12,"bereinigt"
"1983-01-01T03:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",314.4,"bereinigt"
"1983-01-01T03:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",282.98,"bereinigt"
"1983-01-01T03:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",108.46,"bereinigt"
"1983-01-01T04:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.23,"bereinigt"
"1983-01-01T04:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",64.25,"bereinigt"
"1983-01-01T04:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",221.11,"bereinigt"
"1983-01-01T04:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",210.87,"bereinigt"
"1983-01-01T04:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",113.6,"bereinigt"
"1983-01-01T05:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.29,"bereinigt"
"1983-01-01T05:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",60.67,"bereinigt"
"1983-01-01T05:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",210.29,"bereinigt"
"1983-01-01T05:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",200.32,"bereinigt"
"1983-01-01T05:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",132.61,"bereinigt"
"1983-01-01T06:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.82,"bereinigt"
"1983-01-01T06:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",62.21,"bereinigt"
"1983-01-01T06:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",192.76,"bereinigt"
"1983-01-01T06:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",187.07,"bereinigt"
"1983-01-01T06:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",202.52,"bereinigt"
"1983-01-01T07:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.62,"bereinigt"
"1983-01-01T07:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",63.75,"bereinigt"
"1983-01-01T07:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",184,"bereinigt"
"1983-01-01T07:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",180.86,"bereinigt"
"1983-01-01T07:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-01T08:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.87,"bereinigt"
"1983-01-01T08:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",59.63,"bereinigt"
"1983-01-01T08:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",218.53,"bereinigt"
"1983-01-01T08:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",206.39,"bereinigt"
"1983-01-01T08:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-01T09:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.45,"bereinigt"
"1983-01-01T09:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",60.66,"bereinigt"
"1983-01-01T09:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",178.85,"bereinigt"
"1983-01-01T09:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",175.11,"bereinigt"
"1983-01-01T09:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-01T10:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.28,"bereinigt"
"1983-01-01T10:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",65.8,"bereinigt"
"1983-01-01T10:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",158.75,"bereinigt"
"1983-01-01T10:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",161.68,"bereinigt"
"1983-01-01T10:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",177.32,"bereinigt"
"1983-01-01T11:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.4,"bereinigt"
"1983-01-01T11:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",74.53,"bereinigt"
"1983-01-01T11:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",154.62,"bereinigt"
"1983-01-01T11:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",162.94,"bereinigt"
"1983-01-01T11:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",182.47,"bereinigt"
"1983-01-01T12:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.27,"bereinigt"
"1983-01-01T12:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",77.62,"bereinigt"
"1983-01-01T12:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",127.3,"bereinigt"
"1983-01-01T12:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",142.65,"bereinigt"
"1983-01-01T12:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",208.17,"bereinigt"
"1983-01-01T13:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.25,"bereinigt"
"1983-01-01T13:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",82.76,"bereinigt"
"1983-01-01T13:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",119.06,"bereinigt"
"1983-01-01T13:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",138.74,"bereinigt"
"1983-01-01T13:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",167.06,"bereinigt"
"1983-01-01T14:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.38,"bereinigt"
"1983-01-01T14:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",97.15,"bereinigt"
"1983-01-01T14:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",109.79,"bereinigt"
"1983-01-01T14:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",138.82,"bereinigt"
"1983-01-01T14:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",164.48,"bereinigt"
