"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.4,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",3.45,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",34.37,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",17.78,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",38.46,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",6.35,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",92.1,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",77.02,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",15.91,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",7.35,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",19.17,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",30.63,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",39.72,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",36.8,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",3.59,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.78,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",5.66,"provisorisch"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",46.16,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",62.2,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",45.57,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",49.08,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",2.93,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",66.79,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",60.1,"provisorisch"
"2023-01-01T01:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.23,"provisorisch"
"2023-01-01T01:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",2.39,"provisorisch"
"2023-01-01T01:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",14.92,"provisorisch"
"2023-01-01T01:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",4.24,"provisorisch"
"2023-01-01T01:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",22.03,"provisorisch"
"2023-01-01T01:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",27.43,"provisorisch"
"2023-01-01T01:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",74.21,"provisorisch"
"2023-01-01T01:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",49.59,"provisorisch"
"2023-01-01T01:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",11.06,"provisorisch"
"2023-01-01T01:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",5.39,"provisorisch"
"2023-01-01T01:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",12.88,"provisorisch"
"2023-01-01T01:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",41.15,"provisorisch"
"2023-01-01T01:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",10.65,"provisorisch"
"2023-01-01T01:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",8.19,"provisorisch"
"2023-01-01T01:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",4.13,"provisorisch"
"2023-01-01T01:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.55,"provisorisch"
"2023-01-01T01:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",7.04,"provisorisch"
"2023-01-01T01:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",46.43,"provisorisch"
"2023-01-01T01:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",51.36,"provisorisch"
"2023-01-01T01:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",37.3,"provisorisch"
"2023-01-01T01:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",41.03,"provisorisch"
"2023-01-01T01:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",17.22,"provisorisch"
"2023-01-01T01:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",46.94,"provisorisch"
"2023-01-01T01:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",40.41,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.34,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",2.05,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",31.24,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",13.62,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",38.87,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",7.07,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",49.2,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",41.27,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",20.94,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",8.74,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",26.65,"provisorisch"
